attempt_id,candidate_id,benchmark,graph_active,functional_influence,target_consumers,eout_depends_on_bi,old_source_bypass_removed,bypass_status,acceptance_status,rejection_reason,schema_version
permute_invert_adapter__xplant__rewrite,permute_invert_adapter__xplant,permute_invert_adapter,true,true,"[""keep"", ""xri_b0"", ""y""]",true,true,no_bypass_detected,accepted,,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__rewrite,xor_basis_adapter__xplant,xor_basis_adapter,true,true,"[""keep"", ""xri_b0"", ""y""]",true,true,no_bypass_detected,accepted,,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__rewrite,nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,true,true,"[""keep"", ""xri_b0"", ""y""]",true,true,no_bypass_detected,accepted,,cross_netlist_cut_transplantation_v1
multi_output_region__xplant__rewrite,multi_output_region__xplant,multi_output_region,true,true,"[""keep"", ""xri_b0"", ""xri_b1"", ""y0"", ""y1""]",true,true,no_bypass_detected,accepted,,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant__rewrite,residual_output_adapter__xplant,residual_output_adapter,true,true,"[""keep"", ""xri_b0"", ""y""]",true,true,no_bypass_detected,accepted,,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant__rewrite,grow_forward_region__xplant,grow_forward_region,true,true,"[""keep"", ""xri_b0"", ""xri_b1"", ""y""]",true,true,no_bypass_detected,accepted,,cross_netlist_cut_transplantation_v1
affine_transplant__xplant__rewrite,affine_transplant__xplant,affine_transplant,true,true,"[""keep"", ""xri_b0"", ""xri_b1"", ""y0"", ""y1""]",true,true,no_bypass_detected,accepted,,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__rewrite,add_add_transplant__xplant,add_add_transplant,true,true,"[""keep"", ""xri_b0"", ""y""]",true,true,no_bypass_detected,accepted,,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__rewrite,bilinear_transplant__xplant,bilinear_transplant,true,true,"[""keep"", ""xri_b0"", ""y""]",true,true,no_bypass_detected,accepted,,cross_netlist_cut_transplantation_v1
mac_transplant__xplant__rewrite,mac_transplant__xplant,mac_transplant,true,true,"[""keep"", ""xri_b0"", ""y""]",true,true,no_bypass_detected,accepted,,cross_netlist_cut_transplantation_v1
mux_transplant__xplant__rewrite,mux_transplant__xplant,mux_transplant,true,true,"[""keep"", ""xri_b0"", ""y""]",true,true,no_bypass_detected,accepted,,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__rewrite,mask_constmul_transplant__xplant,mask_constmul_transplant,true,true,"[""keep"", ""xri_b0"", ""y""]",true,true,no_bypass_detected,accepted,,cross_netlist_cut_transplantation_v1
negative_no_input_adapter__xplant__rewrite,negative_no_input_adapter__xplant,negative_no_input_adapter,false,false,[],true,false,inactive_or_bypassed,rejected,no_exact_input_adapter,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant__rewrite,negative_no_output_adapter__xplant,negative_no_output_adapter,false,false,[],false,false,inactive_or_bypassed,rejected,no_exact_output_adapter,cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant__rewrite,negative_target_not_influential__xplant,negative_target_not_influential,true,true,"[""keep"", ""xri_b0"", ""y""]",false,true,no_bypass_detected,rejected,target_does_not_influence_bi,cross_netlist_cut_transplantation_v1
negative_whole_design__xplant__rewrite,negative_whole_design__xplant,negative_whole_design,true,true,"[""xri_b0"", ""y""]",true,true,no_bypass_detected,rejected,whole_design_transplant_diagnostic,cross_netlist_cut_transplantation_v1
negative_global_cec__xplant__rewrite,negative_global_cec__xplant,negative_global_cec,true,true,"[""keep"", ""xri_b0"", ""y""]",true,true,no_bypass_detected,rejected,global_cec_failed,cross_netlist_cut_transplantation_v1
